theme,subtheme,initial_code,generator_consumer_axis,issue_focus,count,percent,example_requirement
"Provenance, identity, and trust",BOM identity and references,bom_ref_identity_links,generator-population,provenance,261,15.1,The bom-ref property is Optional.
Specialized security data models,Specialized BOM extensions,cryptographic_asset_modeling,generator-population,inventory/provenance,220,12.8,The cryptoProperties property is Optional.
Completeness and evidence,Build provenance and evidence,formulation_build_evidence,generator-population,completeness/evidence,151,8.8,The formulation property is Optional.
"Provenance, identity, and trust",Producer and document metadata,entity_provenance_population,generator-population,provenance,108,6.3,The manufacturer property is Optional.
Vulnerability and VEX semantics,Vulnerability and VEX records,vulnerability_record_population,generator-population,vulnerabilities,107,6.2,The vulnerabilities property is Optional.
Specialized security data models,Specialized BOM extensions,data_governance_modeling,generator-population,inventory/provenance,84,4.9,Each item in datasets Must be one of: Inline Data Information.
"Provenance, identity, and trust",Integrity metadata,hash_integrity_population,generator-population,inventory/provenance,76,4.4,The hashes property is Optional.
Specialized security data models,Specialized BOM extensions,attestation_declaration_modeling,generator-population,inventory/provenance,76,4.4,The declarations property is Optional.
"Provenance, identity, and trust",Producer and document metadata,contact_provenance_population,generator-population,inventory/provenance,65,3.8,The contact property is Optional.
Structural conformance and validation,Extension and annotation mechanisms,extension_property_population,shared-validation,inventory/provenance,65,3.8,The properties property is Optional.
Structural conformance and validation,Extension and annotation mechanisms,property_taxonomy_normalization,shared-validation,inventory/provenance,48,2.8,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.
Component inventory and identity,External identifiers and references,external_reference_population,generator-population,inventory/provenance,46,2.7,The externalReferences property is Optional.
Component inventory and identity,Component identity and metadata,component_descriptive_metadata,generator-population,inventory/provenance,37,2.1,The mime-type property is Optional.
Component inventory and identity,External identifiers and references,identifier_normalization,generator-population,inventory/provenance,36,2.1,The cpe property is Optional.
Component inventory and identity,Legal and licensing metadata,license_copyright_population,generator-population,inventory/provenance,36,2.1,The licenses property is Optional.
Completeness and evidence,Build provenance and evidence,pedigree_population,generator-obligation; generator-population,completeness/evidence,35,2.0,The modified property is Optional and Deprecated.
"Provenance, identity, and trust",Producer and document metadata,tool_metadata_population,generator-population,provenance,26,1.5,The tools property is Optional.
Structural conformance and validation,Extension and annotation mechanisms,annotation_population,shared-validation,inventory/provenance,24,1.4,Each item of the notes array must be a Note object.
Dependency and downstream-use semantics,Dependency and assembly semantics,dependency_graph_population,downstream-use,dependencies,23,1.3,SBOMs should ideally contain all direct and transitive components and the dependency relationships between them.
Completeness and evidence,Build provenance and evidence,evidence_population,generator-population,completeness/evidence,21,1.2,The evidence property is Optional.
"Provenance, identity, and trust",BOM identity and references,bom_document_identity,generator-obligation,inventory/provenance,19,1.1,"Every BOM generated should have a unique serial number, even if the contents of the BOM have not changed over time."
"Provenance, identity, and trust",Integrity metadata,signature_integrity_population,generator-population,inventory/provenance,19,1.1,The signature property is Optional.
Component inventory and identity,Component identity and metadata,component_service_identity,generator-population,inventory/provenance,18,1.0,The group property is Optional.
Vulnerability and VEX semantics,Vulnerability and VEX records,vex_analysis_semantics,downstream-use,vulnerabilities,18,1.0,The analysis property is Optional.
Specialized security data models,Specialized BOM extensions,ml_model_card_modeling,generator-population,inventory/provenance,17,1.0,The modelCard property is Optional.
Completeness and evidence,Completeness and evidence claims,completeness_assertion,downstream-use,dependencies; completeness/evidence,16,0.9,It is recommended to leverage compositions to indicate unknown dependency graphs.
Structural conformance and validation,Document structure and conformance,root_object_population,shared-validation,provenance,14,0.8,The metadata property is Optional.
Structural conformance and validation,Document structure and conformance,field_level_constraint,generator-population,inventory/provenance,10,0.6,The lifecycles property is Optional.
Component inventory and identity,Component identity and metadata,component_service_population,generator-population,inventory/provenance,9,0.5,The endpoints property is Optional.
"Provenance, identity, and trust",Producer and document metadata,document_metadata_population,generator-population,provenance,9,0.5,The metadata property is Optional.
Structural conformance and validation,Document structure and conformance,implementation_conformance,consumer-interpretation; shared-validation,downstream-use,7,0.4,A consumer must interpret and process the contents of CycloneDX BOMs in a manner conforming to this standard.
Component inventory and identity,Component identity and metadata,component_service_typing,generator-population,inventory/provenance,6,0.3,The type property is Required.
Structural conformance and validation,Document structure and conformance,bom_format_versioning,shared-validation,inventory/provenance,6,0.3,The bomFormat property is Required.
Dependency and downstream-use semantics,Dependency and assembly semantics,component_nesting,generator-population,inventory/provenance,5,0.3,All items in the nested components list must be unique.
Dependency and downstream-use semantics,Dependency and assembly semantics,scope_runtime_semantics,downstream-use,dependencies,4,0.2,The scope property is Optional.
"Provenance, identity, and trust",Producer and document metadata,timestamp_population,generator-population,provenance,2,0.1,The timestamp property is Optional.
