Section ID & Heading,Recommendation / Requirement,Normative Keyword
2.2 Implementation Conformance,A consumer must interpret and process the contents of CycloneDX BOMs in a manner conforming to this standard.,must
2.2 Implementation Conformance,A consumer should instantiate a warning or error condition when a CycloneDX BOM is not conforming to this standard.,should
2.2 Implementation Conformance,A consumer must not instantiate an error condition in response to a CycloneDX BOM conforming to this standard.,must not
2.2 Implementation Conformance,"When optional or recommended features contained within CycloneDX BOMs are accessed by a consumer, the consumer must interpret and process those features in a manner conforming to this standard.",must
2.2 Implementation Conformance,Any CycloneDX BOM a producer creates must conform to this standard.,must
2.2 Implementation Conformance,A producer must not introduce any non-conforming CycloneDX content when modifying or enriching a CycloneDX BOM.,must not
2.2 Implementation Conformance,"When a producer chooses to use an optional or recommended feature in an CycloneDX BOM, then the producer must create or modify that feature in a manner conforming to this standard.",must
5.2 High-Level SBOM Use Cases,SBOMs should ideally contain all direct and transitive components and the dependency relationships between them.,should
5.3.1 Software Bill of Materials (SBOM),SBOMs should ideally contain all direct and transitive components and the dependency relationships between them.,should
5.4.1.1 Serial Number,"Every BOM generated should have a unique serial number, even if the contents of the BOM have not changed over time.",should
5.4.1.1 Serial Number,"If specified, the serial number must conform to RFC-4122.",must
5.4.1.1 Serial Number,The use of serial numbers is recommended.,recommended
5.4.1.2 Version,"Whenever an existing BOM is modified, either manually or through automated processes, the version of the BOM should be incremented by 1.",should
5.4.1.2 Version,"When a system is presented with multiple BOMs with identical serial numbers, the system should use the most recent version of the BOM.",should
6 CycloneDX Bill of Materials Standard,The bomFormat property is Required.,Required
6 CycloneDX Bill of Materials Standard,"The value of bomFormat must be ""CycloneDX"".",must
6 CycloneDX Bill of Materials Standard,The specVersion property is Required.,Required
6 CycloneDX Bill of Materials Standard,The serialNumber property is Optional.,Optional
6 CycloneDX Bill of Materials Standard,"Every BOM generated SHOULD have a unique serial number, even if the contents of the BOM have not changed over time.",SHOULD
6 CycloneDX Bill of Materials Standard,"If specified, the serial number must conform to RFC 4122.",must
6 CycloneDX Bill of Materials Standard,Use of serial numbers is recommended.,recommended
6 CycloneDX Bill of Materials Standard,The version property is Optional.,Optional
6 CycloneDX Bill of Materials Standard,"Whenever an existing BOM is modified, either manually or through automated processes, the version of the BOM SHOULD be incremented by 1.",SHOULD
6 CycloneDX Bill of Materials Standard,"When a system is presented with multiple BOMs with identical serial numbers, the system SHOULD use the most recent version of the BOM.",SHOULD
6 CycloneDX Bill of Materials Standard,The metadata property is Optional.,Optional
6 CycloneDX Bill of Materials Standard,The components property is Optional.,Optional
