class_name,breadth,ancestor_count,max_depth,ancestors
refType,25,41,11,"affirmation, annotation, assessor, claim, component, componentData, componentEvidence, composition, considerations, credits, dataGovernance, declarations, declarationsEvidence, definitions, dependency, energyConsumption, energyProvider, environmentalConsiderations, evidenceData, evidenceOccurrence, formula, governanceParty, inlineDataInformation, level, metadata, modelCard, modelParameters, organizationAddress, organizationalContact, organizationalEntity, requirement, service, signatory, standard, targets, task, tools, trigger, vulnerability, workflow, workspace"
property,17,25,8,"annotation, component, considerations, declarations, definitions, energyConsumption, environmentalConsiderations, event, formula, inlineDataInformation, io, metadata, modelCard, modelParameters, releaseNotes, requirement, service, standard, targets, task, tools, trigger, vulnerability, workflow, workspace"
signature,12,18,4,"affirmation, annotation, attestation, claim, component, composition, declarations, declarationsEvidence, definitions, formula, metadata, service, signatory, signature, standard, targets, tools, vulnerability"
organizationalEntity,10,25,9,"affirmation, annotation, assessor, component, componentData, considerations, credits, dataGovernance, declarations, declarationsEvidence, energyConsumption, energyProvider, environmentalConsiderations, evidenceData, formula, governanceParty, inlineDataInformation, metadata, modelCard, modelParameters, service, signatory, targets, tools, vulnerability"
attachmentText,10,31,9,"annotation, component, componentData, componentEvidence, declarations, declarationsEvidence, event, evidenceData, formula, graphic, graphicsCollection, inlineDataInformation, io, license, licenseChoice, metadata, modelCard, modelParameters, note, patch, proofOfConcept, quantitativeAnalysis, releaseNotes, service, swid, targets, task, tools, trigger, vulnerability, workflow"
externalReference,8,22,9,"affirmation, annotation, claim, component, considerations, declarations, definitions, energyConsumption, energyProvider, environmentalConsiderations, formula, metadata, modelCard, requirement, service, signatory, standard, targets, tool, tools, toolsLegacy, vulnerability"
organizationalContact,7,26,10,"affirmation, annotation, assessor, component, componentData, considerations, credits, dataGovernance, declarations, declarationsEvidence, energyConsumption, energyProvider, environmentalConsiderations, evidenceData, formula, governanceParty, inlineDataInformation, metadata, modelCard, modelParameters, organizationalEntity, service, signatory, targets, tools, vulnerability"
version,6,15,5,"affect, annotation, component, declarations, definitions, formula, metadata, service, standard, swid, targets, tool, tools, toolsLegacy, vulnerability"
resourceReferenceChoice,6,7,6,"event, formula, io, task, trigger, workflow, workspace"
component,6,8,3,"annotation, component, declarations, formula, metadata, targets, tools, vulnerability"
